Date,ResourceName,Power_Status,Power_Control_Status,Reserved,PDU_Connected,Price_Per_Hour
2017-01-16 16:47:00,NewServer A2,OFF,PASS,Not In Reservations,,
2017-01-16 16:47:00,NewServer A3,OFF,PASS,Not In Reservations,,
2017-01-16 16:47:00,NewServer A4,OFF,PASS,Not In Reservations,,
2017-01-16 16:47:00,AUS_1,OFF,FAIL_NO_COMMAND,Shared,,
2017-01-16 16:47:00,AUS_2,OFF,FAIL_NO_COMMAND,Shared,,
2017-01-16 16:47:00,Austin_01,ON,PASS,Not In Reservations,,
2017-01-16 16:47:00,Austin_02,ON,PASS,Not In Reservations,,
2017-01-16 16:47:00,Austin_03,ON,PASS,Not In Reservations,,
2017-01-16 16:47:00,JPN_1,OFF,FAIL_MAPPING,Not In Reservations,,
2017-01-16 16:47:00,JPN_2,OFF,FAIL_MAPPING,Not In Reservations,,
2017-01-16 16:47:00,SanFran_01,ON,PASS,Not In Reservations,,
2017-01-16 16:47:00,SanFran_02,ON,PASS,Not In Reservations,,
2017-01-16 16:47:00,SanFran_03,ON,PASS,Not In Reservations,,
2017-01-16 16:47:00,Seattle_01,ON,PASS,Not In Reservations,,
2017-01-16 16:47:00,Seattle_02,ON,PASS,Not In Reservations,,
2017-01-16 16:47:00,Seattle_03,ON,PASS,Not In Reservations,,
2017-01-16 16:47:00,Seattle_04,ON,PASS,Not In Reservations,,
